saddr,daddr,sport
195.181.255.109,,http80
195.181.255.51,,http80
80.209.255.142,,http80
95.214.108.14,,http80
185.81.78.7,,http80
185.81.78.151,,http80
195.181.255.88,,http80
80.209.255.92,,http80
185.142.11.5,,http80
95.214.108.89,,http80
80.209.255.217,,http80
80.209.255.68,,http80
185.81.78.6,,http80
80.209.255.58,,http80
80.209.255.113,,http80
80.209.255.11,,http80
185.81.78.217,,http80
212.237.255.175,,http80
185.81.77.233,,http80
195.181.255.92,,http80
80.209.255.130,,http80
195.181.255.190,,http80
185.81.76.78,,http80
212.237.255.2,,http80
185.81.76.41,,http80
185.81.76.199,,http80
80.209.255.97,,http80
195.181.255.118,,http80
212.237.255.187,,http80
185.81.78.114,,http80
195.181.255.91,,http80
95.214.111.239,,http80
185.81.76.61,,http80
185.81.76.137,,http80
185.81.76.28,,http80
185.142.11.75,,http80
195.181.255.160,,http80
185.81.76.250,,http80
195.181.255.242,,http80
80.209.255.231,,http80
195.181.255.8,,http80
195.181.255.180,,http80
185.81.77.144,,http80
195.181.255.120,,http80
185.81.77.222,,http80
95.214.108.120,,http80
185.142.11.164,,http80
185.81.77.242,,http80
80.209.255.182,,http80
185.81.79.191,,http80
212.237.255.80,,http80
212.237.255.55,,http80
195.181.255.52,,http80
195.181.255.105,,http80
80.209.255.238,,http80
80.209.255.153,,http80
80.209.255.104,,http80
185.81.77.86,,http80
185.81.76.229,,http80
185.81.76.182,,http80
195.181.255.143,,http80
185.81.77.238,,http80
185.81.77.239,,http80
212.237.255.215,,http80
80.209.255.135,,http80
195.181.255.83,,http80
185.81.79.175,,http80
80.209.255.20,,http80
195.181.255.233,,http80
185.81.78.124,,http80
185.142.11.177,,http80
185.81.77.175,,http80
80.209.255.205,,http80
80.209.255.129,,http80
185.81.76.178,,http80
195.181.255.157,,http80
195.181.255.209,,http80
185.81.76.153,,http80
195.181.255.122,,http80
185.81.76.148,,http80
195.181.255.191,,http80
185.81.76.173,,http80
195.181.255.130,,http80
95.214.111.74,,http80
95.214.111.82,,http80
195.181.255.169,,http80
195.181.255.238,,http80
212.237.255.236,,http80
80.209.255.123,,http80
95.214.109.175,,http80
185.81.76.152,,http80
80.209.255.241,,http80
80.209.255.164,,http80
80.209.255.15,,http80
185.81.76.197,,http80
80.209.255.91,,http80
80.209.255.204,,http80
80.209.255.125,,http80
185.81.78.226,,http80
80.209.255.246,,http80
185.81.76.45,,http80
185.81.77.42,,http80
185.81.77.208,,http80
80.209.255.32,,http80
185.142.11.148,,http80
195.181.255.104,,http80
185.81.79.119,,http80
185.81.77.226,,http80
195.181.255.170,,http80
195.181.255.212,,http80
185.81.77.190,,http80
195.181.255.194,,http80
185.142.11.52,,http80
212.237.255.79,,http80
185.81.76.171,,http80
80.209.255.95,,http80
185.81.78.238,,http80
80.209.255.46,,http80
212.237.255.132,,http80
80.209.255.124,,http80
185.142.11.51,,http80
80.209.255.237,,http80
80.209.255.245,,http80
185.81.78.113,,http80
195.181.255.5,,http80
185.81.76.211,,http80
185.142.11.9,,http80
195.181.255.11,,http80
185.81.79.45,,http80
195.181.255.132,,http80
185.81.77.204,,http80
185.81.77.120,,http80
80.209.255.4,,http80
185.142.11.101,,http80
80.209.255.216,,http80
185.81.78.100,,http80
185.81.76.96,,http80
185.81.77.241,,http80
80.209.255.86,,http80
80.209.255.105,,http80
185.142.11.35,,http80
185.81.76.183,,http80
80.209.255.214,,http80
185.81.76.147,,http80
80.209.255.138,,http80
195.181.255.250,,http80
80.209.255.225,,http80
212.237.255.8,,http80
185.81.78.119,,http80
