saddr,daddr,sport
195.181.255.58,192.168.88.240,80
185.81.79.119,192.168.88.240,80
185.81.76.231,192.168.88.240,80
185.81.77.199,192.168.88.240,80
185.81.76.173,192.168.88.240,80
185.81.76.160,192.168.88.240,80
185.81.76.178,192.168.88.240,80
185.81.78.202,192.168.88.240,80
80.209.255.28,192.168.88.240,80
80.209.255.122,192.168.88.240,80
195.181.255.91,192.168.88.240,80
80.209.255.247,192.168.88.240,80
185.81.76.34,192.168.88.240,80
185.81.77.77,192.168.88.240,80
185.81.76.123,192.168.88.240,80
185.81.79.107,192.168.88.240,80
195.181.255.168,192.168.88.240,80
185.81.76.76,192.168.88.240,80
185.81.79.191,192.168.88.240,80
195.181.255.161,192.168.88.240,80
195.181.255.9,192.168.88.240,80
185.81.78.123,192.168.88.240,80
185.81.76.182,192.168.88.240,80
185.81.78.78,192.168.88.240,80
80.209.255.223,192.168.88.240,80
185.81.76.152,192.168.88.240,80
185.81.76.69,192.168.88.240,80
95.214.110.2,192.168.88.240,80
185.81.77.208,192.168.88.240,80
185.81.78.4,192.168.88.240,80
185.81.76.52,192.168.88.240,80
185.81.79.200,192.168.88.240,80
185.81.76.90,192.168.88.240,80
80.209.255.216,192.168.88.240,80
195.181.255.205,192.168.88.240,80
80.209.255.31,192.168.88.240,80
185.81.76.71,192.168.88.240,80
195.181.255.95,192.168.88.240,80
185.81.77.175,192.168.88.240,80
185.81.78.7,192.168.88.240,80
185.81.78.85,192.168.88.240,80
80.209.255.206,192.168.88.240,80
185.81.77.105,192.168.88.240,80
185.81.76.61,192.168.88.240,80
80.209.255.203,192.168.88.240,80
185.81.76.196,192.168.88.240,80
185.81.77.202,192.168.88.240,80
195.181.255.165,192.168.88.240,80
185.81.76.179,192.168.88.240,80
195.181.255.201,192.168.88.240,80
185.81.77.156,192.168.88.240,80
185.81.76.199,192.168.88.240,80
185.81.77.197,192.168.88.240,80
195.181.255.218,192.168.88.240,80
185.81.76.21,192.168.88.240,80
185.81.76.115,192.168.88.240,80
185.81.78.119,192.168.88.240,80
80.209.255.83,192.168.88.240,80
95.214.109.13,192.168.88.240,80
185.81.77.211,192.168.88.240,80
80.209.255.123,192.168.88.240,80
185.81.78.122,192.168.88.240,80
185.81.77.201,192.168.88.240,80
195.181.255.72,192.168.88.240,80
212.237.255.229,192.168.88.240,80
95.214.108.32,192.168.88.240,80
195.181.255.94,192.168.88.240,80
195.181.255.120,192.168.88.240,80
185.81.76.148,192.168.88.240,80
185.81.78.127,192.168.88.240,80
185.81.76.114,192.168.88.240,80
185.81.76.211,192.168.88.240,80
80.209.255.124,192.168.88.240,80
212.237.255.214,192.168.88.240,80
185.81.78.71,192.168.88.240,80
185.81.76.143,192.168.88.240,80
185.81.76.190,192.168.88.240,80
80.209.255.201,192.168.88.240,80
195.181.255.31,192.168.88.240,80
185.81.77.233,192.168.88.240,80
185.81.77.141,192.168.88.240,80
95.214.108.14,192.168.88.240,80
185.81.77.255,192.168.88.240,80
95.214.108.38,192.168.88.240,80
80.209.255.19,192.168.88.240,80
195.181.255.135,192.168.88.240,80
80.209.255.113,192.168.88.240,80
185.81.77.81,192.168.88.240,80
212.237.255.166,192.168.88.240,80
185.142.11.75,192.168.88.240,80
185.142.11.9,192.168.88.240,80
185.142.11.187,192.168.88.240,80
185.81.78.176,192.168.88.240,80
185.81.78.155,192.168.88.240,80
185.142.11.130,192.168.88.240,80
185.142.11.46,192.168.88.240,80
185.142.11.191,192.168.88.240,80
185.142.11.76,192.168.88.240,80
185.142.11.112,192.168.88.240,80
185.142.11.48,192.168.88.240,80
185.142.11.73,192.168.88.240,80
185.142.11.85,192.168.88.240,80
185.142.11.49,192.168.88.240,80
195.181.255.163,192.168.88.240,80
185.142.11.100,192.168.88.240,80
185.142.11.59,192.168.88.240,80
185.142.11.180,192.168.88.240,80
212.237.255.18,192.168.88.240,80
185.81.77.75,192.168.88.240,80
185.142.11.113,192.168.88.240,80
185.81.78.213,192.168.88.240,80
185.81.78.226,192.168.88.240,80
185.142.11.5,192.168.88.240,80
185.142.11.56,192.168.88.240,80
185.142.11.139,192.168.88.240,80
185.142.11.52,192.168.88.240,80
185.142.11.136,192.168.88.240,80
185.142.11.74,192.168.88.240,80
