saddr,daddr,sport
195.181.255.75,192.168.211.122,80
185.81.77.95,192.168.211.122,80
185.142.10.149,192.168.211.122,80
95.214.110.0,192.168.211.122,80
185.81.76.90,192.168.211.122,80
95.214.111.186,192.168.211.122,80
80.209.255.233,192.168.211.122,80
95.214.109.138,192.168.211.122,80
95.214.108.69,192.168.211.122,80
95.214.111.122,192.168.211.122,80
95.214.110.230,192.168.211.122,80
212.237.255.153,192.168.211.122,80
185.81.78.96,192.168.211.122,80
185.81.76.94,192.168.211.122,80
185.81.76.81,192.168.211.122,80
185.142.8.138,192.168.211.122,80
95.214.110.122,192.168.211.122,80
212.237.255.66,192.168.211.122,80
185.81.78.53,192.168.211.122,80
185.81.77.146,192.168.211.122,80
185.81.77.121,192.168.211.122,80
185.142.10.2,192.168.211.122,80
80.209.255.60,192.168.211.122,80
185.81.76.59,192.168.211.122,80
80.209.255.131,192.168.211.122,80
195.181.255.137,192.168.211.122,80
185.81.79.90,192.168.211.122,80
80.209.255.127,192.168.211.122,80
95.214.108.185,192.168.211.122,80
95.214.111.155,192.168.211.122,80
95.214.110.106,192.168.211.122,80
185.142.10.70,192.168.211.122,80
185.142.11.106,192.168.211.122,80
195.181.255.39,192.168.211.122,80
185.142.8.136,192.168.211.122,80
195.181.255.190,192.168.211.122,80
195.181.255.115,192.168.211.122,80
95.214.109.238,192.168.211.122,80
185.81.78.94,192.168.211.122,80
185.142.9.70,192.168.211.122,80
80.209.255.225,192.168.211.122,80
80.209.255.140,192.168.211.122,80
95.214.111.46,192.168.211.122,80
185.142.10.58,192.168.211.122,80
195.181.255.74,192.168.211.122,80
185.81.76.146,192.168.211.122,80
185.81.79.238,192.168.211.122,80
185.81.78.17,192.168.211.122,80
185.142.11.236,192.168.211.122,80
185.142.10.98,192.168.211.122,80
185.81.79.95,192.168.211.122,80
185.142.9.121,192.168.211.122,80
195.181.255.109,192.168.211.122,80
95.214.108.199,192.168.211.122,80
95.214.108.92,192.168.211.122,80
185.81.78.95,192.168.211.122,80
